edge,r,p,q
e170,0.11171294350331494,0.002140448813316017,0.0027464653675278055
e171,0.162831387105094,7.09521085284493e-06,1.3359609419568475e-05
e172,0.2645774648431444,1.58198292981881e-13,2.1415959390064164e-12
e173,0.12081374573370966,0.0008940715175726024,0.0012015142625401668
e174,0.18407422014831684,3.651464863131305e-07,8.960926227193607e-07
e175,0.15491447704855618,1.957155954339147e-05,3.410455647228461e-05
e176,0.14257779444547203,8.635945570092618e-05,0.00013446155765968476
e177,0.16582578399341644,4.772500521658681e-06,9.261117540810117e-06
e178,0.12059575598117349,0.0009136136745689261,0.0012265339083803299
e179,0.12460534317042973,0.0006103791272390927,0.0008360206918616522
e180,0.146390833698083,5.526742291231521e-05,8.91410046972826e-05
e181,0.22309699366271468,6.017197622460957e-10,2.8735836977915298e-09
e182,0.18193036547571592,5.007337653422539e-07,1.1882287110844542e-06
e183,0.16310809370135207,6.841936706053847e-06,1.292033976565492e-05
e184,0.17815280127516234,8.656549720292678e-07,1.9447430507318164e-06
e185,0.1388865448753261,0.00013163608444110433,0.0001995853775526077
e186,0.19656163899658918,5.388395820774559e-08,1.5757395566996876e-07
e187,0.07040411179747208,0.05346628763399438,0.05947672446288156
e188,0.13343747464120012,0.00024067189622046156,0.00035079255363562476
e189,0.24697319546028887,6.302687912017147e-12,5.267681203239866e-11
e190,0.17839663748338494,8.358903986013764e-07,1.883616683520257e-06
e191,0.20563540690879745,1.2380667773022487e-08,4.218032677335174e-08
e192,0.1537679204691995,2.257814888190119e-05,3.900218426647862e-05
e193,0.214279560983944,2.861276398254433e-09,1.1486665387384147e-08
e194,0.16709394030518343,4.0261143449020975e-06,7.920877455615595e-06
e195,0.21561500734019742,2.26903247242005e-09,9.33893406435553e-09
e196,0.09326380091121743,0.010450098372797614,0.012435917397688147
e197,0.0737280199864753,0.04311942228849895,0.048331446634061574
e198,0.16757754532904617,3.772028721562091e-06,7.45489835724358e-06
e199,0.1855097076892632,2.949442290798403e-07,7.383809483820382e-07
e200,0.2444659142570124,1.041435890370175e-11,8.197674180817146e-11
e201,0.08740325583487293,0.01643869117122229,0.019170766192412307
e202,0.20405388909012204,1.6076901218659223e-08,5.345536077716266e-08
e203,0.20525620115307608,1.3183501048004258e-08,4.4640406815600605e-08
e204,0.2478270307602881,5.305149849090493e-12,4.522356304011655e-11
e205,0.27147524128282713,3.4572882007968956e-14,5.771815033209582e-13
e206,0.12565802993277386,0.0005479663180026096,0.0007564185438576534
e207,0.0657991505650901,0.07114659973689978,0.07826519263484276
e208,0.11959781981174532,0.0010082220511556195,0.0013441159521670014
e209,0.24628330516896738,7.240699928759494e-12,5.95659068136891e-11
e210,0.115039148397416,0.0015667311049524658,0.0020423129168448883
e211,0.17853238808638922,8.197484551376056e-07,1.8508048850962502e-06
e212,0.24095377886656286,2.084914643456388e-11,1.4886903984493048e-10
e213,0.19424346853584634,7.760821301902615e-08,2.1909539496079166e-07
e214,0.2115439755487832,4.57969978247736e-09,1.7425626323384216e-08
e215,0.19740665061987128,4.712219926719234e-08,1.398555951405112e-07
e216,0.1761195001611682,1.1567842655305226e-06,2.5369194273812433e-06
e217,0.2149012746640525,2.5689267145666852e-09,1.0411739637449498e-08
e218,0.1493898065454707,3.860246307122684e-05,6.39198714526056e-05
e219,0.19556972183682425,6.30219863985645e-08,1.813647909373006e-07
e220,0.24319940922311012,1.3393231675601555e-11,1.0130190434985593e-10
e221,0.22643642770945893,3.276486631961225e-10,1.6944408517678893e-09
e222,0.23529626805716813,6.234208730564052e-11,3.871765722190869e-10
e223,0.07791683461457508,0.032532768931752234,0.0368743009478766
e224,0.24755079040540315,5.609673052120774e-12,4.746279495629396e-11
e225,0.18661634323269163,2.498969665403696e-07,6.344666540129312e-07
e226,0.17761315487878102,9.351929463850565e-07,2.0849585069530162e-06
e227,0.26408668874266705,1.759826029425108e-13,2.3452232288967136e-12
e228,-0.02147067738374165,0.5563560711093017,0.5702248565654668
e229,0.2294118049841765,1.8910054842073157e-10,1.0406805623817915e-09
e230,0.1992480989997799,3.5110527939239274e-08,1.0750877150190207e-07
e231,0.25715446884406823,7.741305172175931e-13,8.53854729428998e-12
e232,0.16646843789238394,4.379104958902998e-06,8.55361098175988e-06
e233,0.2216029905723261,7.873244801036952e-10,3.64197051465912e-09
e234,0.22415175042635668,4.971224814440764e-10,2.441445552995341e-09
e235,0.14047919909030224,0.00010988538704671696,0.00016853327184814394
e236,0.1420664530450035,9.16089881101497e-05,0.00014207925051765093
e237,0.1579567196775884,1.332913402951389e-05,2.389422278959791e-05
e238,0.06125310755020464,0.09303087372486347,0.10123663734482327
e239,-0.04741413364920554,0.19371977921886385,0.20574390812058443
e240,0.22104642464767665,8.698389957712231e-10,3.973321495525964e-09
e241,0.2534728959145715,1.6702943987705661e-12,1.652852239459685e-11
e242,0.20043704724716402,2.899239218990714e-08,9.047335809615056e-08
e243,0.23363718830681093,8.550179140837197e-11,5.151334087274e-10
e244,0.19395869289740972,8.114097203085638e-08,2.2825916644247132e-07
e245,0.01124169173496505,0.7580984804737343,0.7680561939429443
e246,0.22356074922761524,5.533274158986464e-10,2.6765229889117803e-09
e247,0.0564410275968205,0.12175472711577157,0.1312808338536982
e248,0.052017988709238246,0.15386495118113133,0.16467207316900687
e249,0.0920106832227347,0.011536404186000403,0.013678172265336512
e250,0.24396729722827998,1.1500544749308897e-11,8.912026499659153e-11
e251,0.22708005367483744,2.9110583059769137e-10,1.5252780486819532e-09
e252,0.20661541906534625,1.0519225233689583e-08,3.662862329841167e-08
e253,0.11243095614237177,0.002002394253071188,0.0025783012381828947
e254,0.14214471722250827,9.078646979913801e-05,0.0001408589005770538
e255,0.20211668256937093,2.2077371695936876e-08,7.096865221213321e-08
e256,0.28059047764834605,4.330211664130328e-15,9.448597819758062e-14
e257,0.10041835320628273,0.00581631810061155,0.007101775076829663
e258,0.1981510932428334,4.185147669574661e-08,1.2584532883731605e-07
e259,0.17970644033315117,6.921022308796039e-07,1.588379009860929e-06
e260,0.2387944968670037,3.1774759672539395e-11,2.1489377978854912e-10
e261,0.21268008522343756,3.769914613782733e-09,1.4664054107559889e-08
e262,0.2261135424022178,3.476277311017011e-10,1.7760697943321828e-09
e263,0.2582777689892166,6.107365816213029e-13,6.956873482692575e-12
e264,0.19298161740778186,9.448253518874846e-08,2.617572671942217e-07
e265,0.15277687435953205,2.552568117936421e-05,4.366552527029552e-05
e266,0.2460288360688163,7.62007815678348e-12,6.242880004939945e-11
e267,0.1744411828003035,1.4658781342259074e-06,3.1420696759043036e-06
e268,0.00028824691982246085,0.9936994911102627,0.9937993704439756
e269,0.13920158126672927,0.00012703587074338831,0.000193124243700589
e270,0.05841518316146999,0.10922929068788043,0.11822380532409554
e271,0.10802382026349894,0.002997154182801375,0.003782317727043399
e272,0.18552628884206238,2.942148525631386e-07,7.369258106993654e-07
e273,0.0631202239599836,0.08346583879495188,0.0912220008798079
e274,-0.05043869858466398,0.16676873998075245,0.17794626947007902
e275,0.25808881438678943,6.356352721103862e-13,7.19928395845002e-12
e276,0.10780990809004602,0.0030553093126198068,0.003851067603314806
e277,0.20069154437586148,2.7823960941215575e-08,8.723756463371513e-08
e278,0.13685230852213565,0.00016532656806555947,0.0002469227487619809
e279,0.2104033186423703,5.561687947330567e-09,2.069848535463452e-08
e280,0.23116793108829056,1.3621968055765877e-10,7.794053027882143e-10
e281,0.19767227540491736,4.517179026636594e-08,1.3458880465648782e-07
e282,-0.009887459694663158,0.7864863031920875,0.7951571118997378
e283,0.16456877379638402,5.6417532031571234e-06,1.080774824247466e-05
e284,0.22731872214942564,2.785910922825099e-10,1.4666568085772347e-09
e285,0.2512850063561742,2.622778971963624e-12,2.424212798052769e-11
e286,0.21306137569785186,3.5307324225043144e-09,1.3820136744263544e-08
e287,0.045463010293759654,0.21272208485413163,0.22525246041596445
e288,0.17871534069655462,7.984671585649441e-07,1.8087076215643013e-06
e289,0.2750952619551202,1.5291954737723472e-14,2.8281589152481145e-13
e290,0.23710135988220607,4.408884527928153e-11,2.8625384047559624e-10
e291,0.09267630142686333,0.010947540282971477,0.013004687643711021
e292,0.2283623043188187,2.2975930583719474e-10,1.2387456478353225e-09
e293,0.23964752960897992,2.6915496688691098e-11,1.8578507946755215e-10
e294,0.26570337954669393,1.237923583529746e-13,1.7399932413062397e-12
e295,0.12717057829083114,0.00046861571356638396,0.0006535005395915236
e296,0.19403075818625398,8.023255963265064e-08,2.258633380520226e-07
e297,-0.05240308221153861,0.15083648636048166,0.1615264531331639
e298,0.2432647682957925,1.3220941065162647e-11,1.0015101910800787e-10
e299,0.2046252300257282,1.4632501749191716e-08,4.901309288148715e-08
e300,0.0329155794064082,0.36707003886610584,0.3819847185815775
e301,0.22598682102116277,3.557889884103487e-10,1.8121834833288813e-09
e302,0.1879902873823194,2.0314003183166797e-07,5.248619363087759e-07
e303,0.16296508987175878,6.971733057134454e-06,1.3139263930010004e-05
e304,0.2505517674299758,3.0480412095761386e-12,2.7722129831154094e-11
e305,0.0448925666454597,0.21852346157065367,0.23108815417451417
e306,0.13652907543348608,0.00017137327129271643,0.0002553214118982599
e307,0.18527609021175773,3.0540774060328544e-07,7.622744309551462e-07
e308,0.06223761005321587,0.08788337815909415,0.09581324852714478
e309,0.17514703489457717,1.3272810645236094e-06,2.8737779549580923e-06
e310,0.265655982514799,1.2507992981968834e-13,1.75535303484612e-12
e311,0.23441147750794641,7.380345665449404e-11,4.508515788832248e-10
e312,0.2626609129081453,2.3952008282800294e-13,3.0711660104879242e-12
e313,0.1769399941856964,1.0294800935134993e-06,2.2780667030933653e-06
e314,0.2047057914498811,1.443923947931771e-08,4.8439120977481864e-08
e315,0.24911305740613635,4.087531010572118e-12,3.5976057987786446e-11
e316,0.08144791235703652,0.025417295784527644,0.0290993088316707
e317,0.24275508631007814,1.4624068112397915e-11,1.0944676774603931e-10
e318,0.1771971742391188,9.9242734112262e-07,2.2026883881708833e-06
e319,0.2354912348217974,6.006072643924457e-11,3.753795402452785e-10
e320,0.12668708617699398,0.0004927352646524842,0.0006849281759279432
e321,0.20982228997650773,6.137627226135354e-09,2.256397225200324e-08
e322,0.04873522300386548,0.1815793826313637,0.19322120284285
e323,0.18978910040125857,1.5452650647082755e-07,4.091375038277632e-07
e324,0.21865122642594756,1.3317090929914375e-09,5.798908304273437e-09
e325,0.11873535689070913,0.00109719438583105,0.0014554171629141378
e326,0.0454468722046921,0.21288466751771348,0.22540063227467402
e327,0.28641045468292087,1.103277054427695e-15,2.86247892869767e-14
e328,0.26414614595272246,1.737278738975183e-13,2.317147915925345e-12
e329,0.00408347401605346,0.9109278388448672,0.9144662257485172
e330,0.23924355349516885,2.9118721560566e-11,1.9926497904238769e-10
e331,0.17891081300084472,7.763166571893534e-07,1.7627454904231096e-06
e332,0.2284094399974985,2.2776304228334264e-10,1.2296485462394245e-09
e333,0.2454840445184235,8.498810391197783e-12,6.866679934422895e-11
e334,0.2387113731463313,3.2291726334364085e-11,2.1790618991313845e-10
e335,0.08351377426114365,0.021912209375328836,0.025250620566856438
e336,-0.034658906460460805,0.3422265677065321,0.35697183653213066
e337,0.05861756177110679,0.10800493475280411,0.11693042824551449
e338,0.2581782620646101,6.237271455085527e-13,7.088618044329069e-12
e339,0.22091990031117834,8.897395244525048e-10,4.0535294268783985e-09
e340,0.156339580601014,1.636318006007353e-05,2.884976372778092e-05
e341,0.17836995829178978,8.390985103620991e-07,1.890417791939972e-06
e342,0.2455254727428994,8.428644983162142e-12,6.818294112395391e-11
e343,0.18481441584610878,3.2714746406652393e-07,8.11952423911677e-07
e344,0.16603365752158614,4.641696394106268e-06,9.028419337573526e-06
e345,0.10174472017061134,0.005196750368782418,0.006379330845646173
e346,0.21371441425274312,3.1549035432315026e-09,1.253145319567004e-08
e347,0.1953926660789498,6.480356342501668e-08,1.8606130603921973e-07
e348,0.2658303218028095,1.2040757677325852e-13,1.7005754278125225e-12
e349,0.12953876310255458,0.0003655612253665837,0.0005184341779357907
e350,0.25988380690170043,4.342938554620288e-13,5.1906592935101336e-12
e351,0.12800761850780484,0.0004294399395248104,0.0006024996331460608
e352,0.28253167173906485,2.7541913471183476e-15,6.341810141451393e-14
e353,0.2568933655997997,8.17853551858512e-13,8.947380803729735e-12
e354,0.21751209787891157,1.6279299966057574e-09,6.959357020935462e-09
e355,0.21234798995124973,3.991002852901295e-09,1.5406587152810042e-08
e356,0.08043524096815047,0.027305588321358085,0.031176843628149972
e357,0.22146564033363403,8.069495748795171e-10,3.7206433132767355e-09
e358,0.18737102492112445,2.2306271849333168e-07,5.711461783347015e-07
e359,0.166569803596927,4.319958425510328e-06,8.444712442795238e-06
e360,0.2540664437377255,1.4767506144977523e-12,1.4887202243417056e-11
e361,0.16456927854720207,5.641375559196713e-06,1.080774824247466e-05
e362,0.19403944822682012,8.012368448259461e-08,2.2562067655350683e-07
e363,0.09313093584368458,0.010560806103823572,0.012561867391876215
e364,0.17676891965048355,1.0548594669731316e-06,2.3298227960893804e-06
e365,0.08297215272648394,0.02278797205960433,0.02621275398763735
e366,0.26583630384083645,1.202503316130512e-13,1.6995607948151412e-12
e367,0.28117941304944377,3.776174959088585e-15,8.349542409540315e-14
e368,0.23922315544465422,2.9234522265969055e-11,1.9994237411161362e-10
e369,-0.02631043018821437,0.47096745897095993,0.4856592617640223
e370,0.10832723290235018,0.0029163948204608352,0.0036855437179888623
e371,0.2065185160407321,1.0690450141608988e-08,3.7172804091913135e-08
e372,0.150815658377112,3.246843190667699e-05,5.4492856113930344e-05
e373,0.2560739888086914,9.713637745139825e-13,1.0303329343043024e-11
e374,0.2555704453333523,1.079348418533844e-12,1.1298807747934506e-11
e375,0.2354239170287466,6.083906433110579e-11,3.7964797121009884e-10
e376,0.25899357209786067,5.247897342275364e-13,6.10363279434715e-12
e377,0.05197714114064971,0.1541888727643847,0.1650009984949051
e378,0.17017956024988456,2.6477143229951334e-06,5.3819729343823445e-06
e379,0.06249882954533903,0.08655677759975844,0.09442902660134822
e380,0.19481032332127668,7.101331263474248e-08,2.0219635861005006e-07
e381,0.22696302368925325,2.9744091873402336e-10,1.5543787507371494e-09
e382,0.06103003158396891,0.09423015804789185,0.10246886039087694
e383,0.049488228859228926,0.17491658216841374,0.1863604232332923
e384,0.2639103738830624,1.8283883489053559e-13,2.4224319669252056e-12
e385,0.25307100287322537,1.8152246125321302e-12,1.7716022456787344e-11
e386,0.13445286334752032,0.0002154428755435343,0.0003164535889663664
e387,0.09112099442763921,0.012367233404081406,0.014617090024423587
e388,0.19863562595407372,3.87324520940247e-08,1.1749631046815419e-07
e389,0.07441466822991374,0.041207104467404505,0.04626093754379723
e390,0.13997056229370738,0.00011643409321319121,0.00017798728337244622
e391,0.17073850473312152,2.4521672389700712e-06,5.020383544804981e-06
e392,0.15552022751765587,1.8140848639768222e-05,3.1761647715237344e-05
e393,0.16055450250112624,9.547153149972547e-06,1.7575240303834754e-05
e394,0.07967327593486404,0.02880491739422607,0.032789215021583724
e395,0.0559131267658333,0.1252872197326772,0.1350311781130999
e396,0.22648792896049882,3.2456718371256004e-10,1.6802515493964478e-09
e397,0.21569269193068114,2.2385232125485136e-09,9.222901020645014e-09
e398,0.03983602409704057,0.27494232522465206,0.2888324062698926
e399,0.1912214282864646,1.240494121378373e-07,3.354053398835546e-07
e400,0.2538874140617232,1.5326902713684192e-12,1.5365509521527224e-11
e401,0.2832414430910469,2.3321404150360572e-15,5.459952265790299e-14
e402,0.265419764982154,1.3169535492756058e-13,1.82629795335084e-12
e403,0.18736911375065415,2.231270268189507e-07,5.712373386976868e-07
e404,0.2088830364348108,7.1931379299376206e-09,2.5969420320348086e-08
e405,0.09218173157281478,0.011382461314086073,0.013503695013134188
e406,0.3197160179498161,2.3436635492531173e-19,2.5767350624385102e-17
e407,0.14078957485136712,0.00010606135303556088,0.0001630452626811635
e408,0.0833064863062865,0.022243865070900207,0.02562241924698507
e409,0.21760507456903944,1.6015266222228959e-09,6.8656569974656674e-09
e410,0.2640048410825944,1.791334172541826e-13,2.3812658673067692e-12
e411,0.17139368578236883,2.2405521447790783e-06,4.6228084687510275e-06
e412,0.12773582126845354,0.00044181310610005576,0.0006185072677728534
e413,0.2547107561786873,1.2914897120601554e-12,1.321369936760776e-11
